sites,study_id,year,indepedence_weight,reference,doi_link,google_drive_link,data_quality,data_quality_explanation,data_stripped,sum_total_richness,sum_total_abundance,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,driver_of_stratification,other_data_of_interest,additional_notes
1,Latta_1998,1998,1,"Latta, S. C., & Wunderle Jr, J. M. (1998). The Assemblage of Birds Foraging in Native West Indian Pine (Pinus occidentalis) Forests of the Dominican Republic during the Nonbreeding Season 1. Biotropica, 30(4), 645-656.",10.1111/j.1744-7429.1998.tb00104.x,https://drive.google.com/file/d/1UImUp0P4YeNDw8Ak7eQhBfhNQRl7IvOX/view?usp=sharing,3,3 - Data as mean observation height per species,Yes,23,NA,4,2,2,"Richness, possibly abundance - Currently in continuous gradient",Human observation,Birds,Americas,Dominican Republic,Unlogged,Non-breeding season,Pine forest,800,20,16.1,-70.8,1993-10-01,1995-04-01,"Vegetation structure, food resources","Vegetation stratification, guild and species specific foraging data",Foraging - not perch height   -   6 locations at two separate sites at different elevations combined - only species above a certain threshold of occurence were used (23 of 63)
1,Leite_1994,1994,NA,"Leite, Y. L. R., Stallings, J. R., & Costa, L. P. (1994). Partição de recursos entre espécies simpátricas de marsupiais na Reserva Biológica de Poço das Antas, Rio de Janeiro. Revista Brasileira de Biologia, 54(3), 525-536.",NA,https://drive.google.com/file/d/1Fbl7nlENSra9_FVJlkL2n0ag3pZDLRp-/view?usp=sharing,NA,Data and results only concern specific species of the community,No,NA,NA,NA,NA,NA,"Abundance (xi squared, page 529) - Discuss",Traps,Small mammals,SA,Brazil,Unlogged (with some degraded forest),Sampling combined across the year,Lowland rainforest,200,30,-22.516667,-42.283333,1988-12-01,1990-10-01,"Food, forest structure","Diet, species specific data",MIGHT NOT INCLUDE - THEY DON:T INCLUDE ALL SPECIES IN THEIR ABUNDANCE MEASURES
1,Lentijo_2005,2005,1,"Lentijo, G. M., & Kattan, G. H. (2005). Estratificación vertical de las aves en una plantación mono específica y en bosque nativo en la cordillera central de Colombia. Ornitología Colombiana, 3, 51-61.",NA,https://drive.google.com/file/d/1D6OEkNOBy9oxo0xDvVZ2XuDNjykGmZlZ/view?usp=sharing,2,NA,Yes,54,154,2,2,3,"Abundance (easy - Figure 3 - 5 strata), Richness (appendix - continuous)",Human observation,Birds,Americas,Colombia,Unlogged,Unknown,Humid forest,1950,33,4.733333,-75.583333,2001-11-01,2002-04-01,Forest structure,"Tree classes, individual species/guild data",NA
2,Lentijo_2005,2005,NA,"Lentijo, G. M., & Kattan, G. H. (2005). Estratificación vertical de las aves en una plantación mono específica y en bosque nativo en la cordillera central de Colombia. Ornitología Colombiana, 3, 51-61.",NA,https://drive.google.com/file/d/1D6OEkNOBy9oxo0xDvVZ2XuDNjykGmZlZ/view?usp=sharing,2,NA,No,NA,NA,NA,NA,NA,"Abundance (easy - Figure 3 - 5 strata), Richness (appendix - continuous)",Human observation,Birds,NA,Colombia,Regrowth,Unknown,Humid forest,1950,33,4.733333,-75.583333,2001-11-01,2002-04-01,Forest structure,"Tree classes, individual species/guild data",NA
3,Lentijo_2005,2005,NA,"Lentijo, G. M., & Kattan, G. H. (2005). Estratificación vertical de las aves en una plantación mono específica y en bosque nativo en la cordillera central de Colombia. Ornitología Colombiana, 3, 51-61.",NA,https://drive.google.com/file/d/1D6OEkNOBy9oxo0xDvVZ2XuDNjykGmZlZ/view?usp=sharing,2,NA,No,NA,NA,NA,NA,NA,"Abundance (easy - Figure 3 - 5 strata), Richness (appendix - continuous)",Human observation,Birds,NA,Colombia,Non-native Plantation,Unknown,Humid forest,1950,33,4.733333,-75.583333,2001-11-01,2002-04-01,Forest structure,"Tree classes, individual species/guild data",NA
1,Lim_2001,2001,1,"Lim, B. K., & Engstrom, M. D. (2001). Bat community structure at Iwokrama forest, Guyana. Journal of Tropical Ecology, 647-665.",10.1017/s0266467401001481,https://drive.google.com/file/d/1A9-mgAPJD6i4Y2qIWxWkZ0GVS3mrgciM/view?usp=sharing,3,NA,Yes,73,2117,2,3,3,Richness (appendix data recorded as % found in understorey vs canopy),Mist nets,Bats,Americas,Guyana,Unlogged,Dry,Lowland rainforest,100,30,4.5,-59.25,1997-03-09,1997-11-21,"Food resources, body size","Body mass, guild/species specific data",NA
1,MacSwiney_2008,2008,1,"MacSwiney G, M. C., Clarke, F. M., & Racey, P. A. (2008). What you see is not what you get: the role of ultrasonic detectors in increasing inventory completeness in Neotropical bat assemblages. Journal of applied Ecology, 45(5), 1364-1371.",https://doi.org/10.1111/j.1365-2664.2008.01531.x,https://drive.google.com/file/d/16ngmDisdhI7XDU0OwawgAXmnbOopE2P1/view?usp=sharing,1,NA,Yes,26,1933,5,3,5,"Richness, abundance - 2 categories of height",Mist nets + Audio devices,Bats,Americas,Mexico,Unlogged,Sampling combined across the year,Rainforest,50,30,21.1,-87.166667,2003,2005,Foraging guild,"Capture methods, guilds, species specific data","They show that without acoustic sampling, you miss a ton of species               ---    combining the cenote/ forest without cenote data - not independent"
1,Malcolm_1991,1991,1,"Malcolm, J. R. (1991). Comparative abundances of Neotropical small mammals by trap height. Journal of Mammalogy, 72(1), 188-192.",NA,https://drive.google.com/file/d/1Gw5wVWmqt5kuxqe0v3zSe4aWB9OEjTgw/view?usp=sharing,1,NA,Yes,15,NA,5,3,5,"Richness, abundance (either 2 or 3 heights depending on the data taken from different trap methods)",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Lowland rainforest,100,35,-2.650665,-61.565232,1983-11-01,1985-11-01,NA,"Capture methods, species specific data",NA
1,Malcolm_2000,2000,1,"Malcolm, J. R., & Ray, J. C. (2000). Influence of timber extraction routes on central African small‐mammal communities, forest structure, and tree diversity. Conservation Biology, 14(6), 1623-1638.",NA,https://drive.google.com/file/d/1jfaNMPzpd7psZSv_zkkpT9WeOP0W8Ve8/view?usp=sharing,1,NA,Yes,17,1208,5,4,2,"Abundance, Richness (needs taking from Table 3)- 3 categories of height",Traps,Small mammals,Africa,Central African Republic,Unlogged,Dry,Lowland rainforest,400,33,2.95,16.266667,1993-11-01,1994-04-01,Vegetation structure,"Logging effects, species data, vegetation/tree/habitat data",Authors mention that richness may not have been fully uncovered in the canopy
2,Malcolm_2000,2000,NA,"Malcolm, J. R., & Ray, J. C. (2000). Influence of timber extraction routes on central African small‐mammal communities, forest structure, and tree diversity. Conservation Biology, 14(6), 1623-1638.",NA,https://drive.google.com/file/d/1jfaNMPzpd7psZSv_zkkpT9WeOP0W8Ve8/view?usp=sharing,1,NA,No,NA,NA,NA,NA,NA,"Abundance, Richness (needs taking from Table 3)- 3 categories of height",Traps,Small mammals,NA,Central African Republic,Logged (12 years prior),Dry,Lowland rainforest,400,33,2.95,16.266667,1993-11-01,1994-04-01,Vegetation structure,"Logging effects, species data, vegetation/tree/habitat data",NA
3,Malcolm_2000,2000,NA,"Malcolm, J. R., & Ray, J. C. (2000). Influence of timber extraction routes on central African small‐mammal communities, forest structure, and tree diversity. Conservation Biology, 14(6), 1623-1638.",NA,https://drive.google.com/file/d/1jfaNMPzpd7psZSv_zkkpT9WeOP0W8Ve8/view?usp=sharing,1,NA,No,NA,NA,NA,NA,NA,"Abundance, Richness (needs taking from Table 3)- 3 categories of height",Traps,Small mammals,NA,Central African Republic,Logged (19 years prior),Dry,Lowland rainforest,400,33,2.95,16.266667,1993-11-01,1994-04-01,Vegetation structure,"Logging effects, species data, vegetation/tree/habitat data",NA
1,Marques_2015,2015,1,"Marques, J. T., Ramos Pereira, M. J., & Palmeirim, J. M. (2015). Patterns in the use of rainforest vertical space by Neotropical aerial insectivorous bats: all the action is up in the canopy. Ecography.",10.1111/ecog.01453,https://drive.google.com/file/d/19FoCeqppZJuPT-pmuW5lwU7ackVWV6Nl/view?usp=sharing,1,NA,Yes,30,4191,5,5,2,"Richness, Abdunance - 3 categories of height",Audio devices,Bats,Americas,Brazil,Unlogged,Dry,Lowland rainforest,40,35,-2.616667,-64.616667,2007-10-01,2007-12-15,Forest structure,"Riparian vs interior comparison, species specific data",NA
1,McClearn_1994,1994,1,"McClearn, D., Kohler, J., McGowan, K. J., Cedeno, E., Carbone, L. G., & Miller, D. (1994). Arboreal and terrestrial mammal trapping on Gigante Peninsula, Barro Colorado nature monument, Panama. Biotropica, 26(2), 208-213.",NA,https://drive.google.com/file/d/1tu6dL94nLazDDHmtUEqNFcdNoaVT3pTc/view?usp=sharing,1,NA,Yes,NA,NA,3,4,4,"Richness, abundance - 3 categories of height",Traps,Small mammals,Americas,Panama,Old regrowth,Dry,Lowland rainforest,50,25,9.114715,-79.84212,1991-01-12,1991-02-27,Food resources,NA,NA
1,Menzel_2005,2005,NA,"Menzel, J. M., Menzel Jr, M. A., Kilgo, J. C., Ford, W. M., Edwards, J. W., & McCRACKEN, G. F. (2005). Effect of habitat and foraging height on bat activity in the coastal plain of South Carolina. The Journal of wildlife management, 69(1), 235-245.",NA,https://drive.google.com/file/d/1Up24DPHQbqWmfsK8aQLrlQBsTbQYbDe4/view?usp=sharing,2,2 (Figure 2 b),No,NA,NA,NA,NA,NA,"Richness, abundance, 3 categories of height",Audio devices,Bats,NA,USA,Unlogged,Summer,Pine forest,125,25,33.663865,-81.934597,2000-05-01,2000-08-10,Forest structure,Different habitat types - could be multiple data points,NA
1,Müller_2013,2013,NA,"Müller, J., Brandl, R., Buchner, J., Pretzsch, H., Seifert, S., Strätz, C., ... & Fenton, B. (2013). From ground to above canopy—Bat activity in mature forests is driven by vegetation density and height. Forest Ecology and Management, 306, 179-184.",https://doi.org/10.1016/j.foreco.2013.06.043,https://drive.google.com/file/d/1WA5gPGcmq2ZpoDboReyPb9QgPwZkHRK2/view?usp=sharing,1,NA,Yes,16,NA,NA,NA,NA,"Richness, abundance, 5 categories of height",Audio devices,Bats,NA,Germany,Unlogged,Summer/Autumn,Montane forest,750,35,48.9,13.483333,2011-05-01,2011-10-01,Forest structure,Seasonal/species data,NA
2,Orians_1969,1969,1,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,https://drive.google.com/file/d/1oz2cl6SedVbe2eI92zIdrkOCp68jaeEG/view?usp=sharing,1,NA,Yes,52,NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Dry,Lowland rainforest,100,40,9.958051,-85.336822,1968-03-01,1968-06-01,Forest structure,"Foliage density, forest structure",Osa-Ridgetop
1,Orians_1969,1969,1,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,https://drive.google.com/file/d/1oz2cl6SedVbe2eI92zIdrkOCp68jaeEG/view?usp=sharing,1,NA,Yes,64,NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Lowland rainforest,100,35,10.423657,-84.01766,1968-03-01,1968-06-01,Forest structure,"Foliage density, forest structure",La Selva
4,Orians_1969,1969,1,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,https://drive.google.com/file/d/1oz2cl6SedVbe2eI92zIdrkOCp68jaeEG/view?usp=sharing,1,NA,Yes,63,NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Tropical moist forest,100,35,9.99928,-84.800297,1968-03-01,1968-06-01,Forest structure,"Foliage density, forest structure",Barranca
5,Orians_1969,1969,1,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,https://drive.google.com/file/d/1oz2cl6SedVbe2eI92zIdrkOCp68jaeEG/view?usp=sharing,1,NA,Yes,67,NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Tropical dry forest,100,30,10.687892,-85.508578,1968-03-01,1968-06-01,Forest structure,"Foliage density, forest structure",Taboga
7,Orians_1969,1969,1,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,https://drive.google.com/file/d/1oz2cl6SedVbe2eI92zIdrkOCp68jaeEG/view?usp=sharing,1,NA,Yes,32,NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Montane rainforest,2380,26,9.59579,-83.682297,1968-03-01,1968-06-01,Forest structure,"Foliage density, forest structure",La Chonta
3,Orians_1969,1969,1,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,https://drive.google.com/file/d/1oz2cl6SedVbe2eI92zIdrkOCp68jaeEG/view?usp=sharing,1,NA,Yes,54,NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Lowland rainforest,100,25,10.127897,-85.275736,1968-03-01,1968-06-01,Forest structure,"Foliage density, forest structure",Osa-Mora
6,Orians_1969,1969,1,"Orians, G. H. (1969). The number of bird species in some tropical forests. Ecology, 50(5), 783-801.",NA,https://drive.google.com/file/d/1oz2cl6SedVbe2eI92zIdrkOCp68jaeEG/view?usp=sharing,1,NA,Yes,26,NA,2,3,2,Richness - 5 categories of height,Human observation,Birds,Americas,Costa Rica,Unlogged,Wet,Montane rainforest,1950,20,10.145548,-84.091737,1968-03-01,1968-06-01,Forest structure,"Foliage density, forest structure",Barba
1,Pearson_1971,1971,1,"Pearson, D. L. (1971). Vertical stratification of birds in a tropical dry forest. The Condor, 73(1), 46-55.",NA,https://drive.google.com/file/d/1hx-rwa5uspVnGC0YwPP0gfJ2yuwCUCj6/view?usp=sharing,1,NA,Yes,37,NA,2,3,2,"Abundance (continuous density plot), Richness - 5 categories of height",Human observation,Birds,Americas,Peru,Unlogged,Dry,Tropical dry forest,175,40,-8.607881,-74.581123,1968-06-12,1968-08-22,"Food, resource, structure","Body weight, foliage density,",NA
4,Pearson_1977,1977,1,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,https://drive.google.com/file/d/1PZp37i_jHhnhxriBY3gp_7G-A--flSqw/view?usp=sharing,1,NA,Yes,NA,2960,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Asia and Oceania,Indonesia,Unlogged,Unknown,Lowland rainforest,40,50,0.4,117.266667,1974-07-25,1974-09-04,"Food, resource, structure","Foliage densitty, guild data",NA
5,Pearson_1977,1977,1,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,https://drive.google.com/file/d/1PZp37i_jHhnhxriBY3gp_7G-A--flSqw/view?usp=sharing,1,NA,Yes,NA,2425,2,3,2,Abundance - 7 categories of height,Human observation,Birds,Asia and Oceania,Papua New Guinea,Unlogged,Unknown,Lowland rainforest,45,45,-3.916667,143.033333,1974-09-30,1974-11-03,"Food, resource, structure","Foliage densitty, guild data",NA
1,Pearson_1977,1977,1,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,https://drive.google.com/file/d/1PZp37i_jHhnhxriBY3gp_7G-A--flSqw/view?usp=sharing,1,NA,Yes,NA,7169,2,5,4,Abundance - 7 categories of height,Human observation,Birds,Americas,Ecuador,Unlogged,Unknown,Lowland rainforest,300,40,-0.4,-76.633333,1971-07-19,1972-04-19,"Food, resource, structure","Foliage densitty, guild data",NA
2,Pearson_1977,1977,1,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,https://drive.google.com/file/d/1PZp37i_jHhnhxriBY3gp_7G-A--flSqw/view?usp=sharing,1,NA,Yes,NA,2985,2,4,3,Abundance - 7 categories of height,Human observation,Birds,Americas,Peru,Unlogged,Unknown,Lowland rainforest,150,40,-8.283333,-74.616667,1972-06-02,1972-09-05,"Food, resource, structure","Foliage densitty, guild data",NA
3,Pearson_1977,1977,1,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,https://drive.google.com/file/d/1PZp37i_jHhnhxriBY3gp_7G-A--flSqw/view?usp=sharing,1,NA,Yes,NA,2093,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Americas,Bolivia,Unlogged,Unknown,Lowland rainforest,176,40,-11.133333,-66.166667,1972-09-14,1972-11-15,"Food, resource, structure","Foliage densitty, guild data",NA
6,Pearson_1977,1977,1,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,https://drive.google.com/file/d/1PZp37i_jHhnhxriBY3gp_7G-A--flSqw/view?usp=sharing,1,NA,Yes,NA,3319,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Africa,Gabon,Unlogged,Unknown,Lowland rainforest,500,40,-0.066667,12.133333,1976-09-28,1976-11-14,"Food, resource, structure","Foliage densitty, guild data",NA
1,Pech-Canche_2011,2011,1,"Pech-Canche, J. M., Estrella, E., López-Castillo, D. L., Hernández-Betancourt, S. F., & Moreno, C. E. (2011). Complementarity and efficiency of bat capture methods in a lowland tropical dry forest of Yucatán, Mexico. Revista Mexicana de Biodiversidad, 82(3), 896-903.",NA,https://drive.google.com/file/d/1uZekVDTzhy4MNoPA8oUKQ6qmeHsYQRQ5/view?usp=sharing,1,NA,Yes,17,151,2,3,4,"Abundance, Richness - 2 categories of height",Mist nets,Bats,Americas,Mexico,Unlogged,Sampling combined across the year,Tropical dry forest,100,15,21.092222,-89.5975,2005-11-01,2006-10-01,NA,"Guild, species data",NA
1,Pereira_2010,2010,1,"Pereira, M. J. R., Marques, J. T., & Palmeirim, J. M. (2010). Vertical stratification of bat assemblages in flooded and unflooded Amazonian forests. Current Zoology, 56(4), 469-478.",10.1093/czoolo/56.4.469,https://drive.google.com/file/d/1KP1d2r8nN9m5jGuFHo4ctnXujgGTyvLB/view?usp=sharing,2,2 (abundance needs calculation by sampling effort (more in the understorey),Yes,60,905,5,3,4,Richness - 2 categories of height,Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined across the year,Lowland rainforest,44,35,-2.40407,-64.680292,2007-04-01,2007-12-01,Food resources,"Guild, species data, NMDS",multiple forest types split up here but best to use the combined I think - to make sure the points are independent
1,Peters_2006,2006,1,"Peters, S. L., Malcolm, J. R., & Zimmerman, B. L. (2006). Effects of selective logging on bat communities in the southeastern Amazon. Conservation Biology, 20(5), 1410-1421.",10.1111/j.1523-1739.2006.00526.x,https://drive.google.com/file/d/1ANKkV0rtai_H4KHSd15i-ngibWbpwX2j/view?usp=sharing,1,NA,Yes,38,NA,2,2,2,Richness - 2 categories of height,Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined across the year,Lowland rainforest,300,30,-7.683333,-51.866667,2002-09-01,2002-12-01,"Food, forest structure","Guild, species species, forest plot data",NA
2,Peters_2006,2006,NA,"Peters, S. L., Malcolm, J. R., & Zimmerman, B. L. (2006). Effects of selective logging on bat communities in the southeastern Amazon. Conservation Biology, 20(5), 1410-1421.",10.1111/j.1523-1739.2006.00526.x,https://drive.google.com/file/d/1ANKkV0rtai_H4KHSd15i-ngibWbpwX2j/view?usp=sharing,1,NA,No,NA,NA,NA,NA,NA,"Abundance, Richness - 2 categories of height",Mist nets,Bats,NA,Brazil,Logged,Sampling combined across the year,Lowland rainforest,300,30,-7.682335,-51.924786,2002-09-01,2002-12-01,"Food, forest structure","Guild, species species, forest plot data",NA
1,Pires_2013,2013,NA,"de Souza Pires, D. P., & Fabián, M. E. (2013). Diversidade, riqueza e estratificação vertical de espécies de morcegos em um remanescente de Mata Atlântica no Sul do Brasil. Biotemas, 26(4), 121-131.",https://doi.org/10.5007/2175-7925.2013v26n4p121,https://drive.google.com/file/d/1Ez17ATaLz3qmzYhKPNEUf8Qt5hiTRiHw/view?usp=sharing,1,NA,Yes,9,107,NA,NA,NA,"Abundance, Richness - 2 categories of height",Mist nets,Bats,NA,Brazil,Unlogged,Sampling combined across the year,Atlantic forest,150,15,-30.169927,-51.097849,2010-07-01,2011-06-01,Forest structure,"Guild, species data",NA
1,Plank_2012,2012,NA,"Plank, M., Fiedler, K., & Reiter, G. (2012). Use of forest strata by bats in temperate forests. Journal of Zoology, 286(2), 154-162.",doi:10.1111/j.1469-7998.2011.00859.x,https://drive.google.com/file/d/1V3ulyiTG-nKiiUDbrTKauQ_JwXie4Q7B/view?usp=sharing,1,NA,Yes,20,2170,NA,NA,NA,"Abundance (calls), richness - 2 categories of height",Audio devices,Bats,NA,Austria,Unlogged,Sampling combined across the year,Temperate deciduous forest,400,20,48.844009,15.859172,2010-05-01,2010-09-01,Forest structure/ foraging habits,"Species specific data, seasonal data",NA
1,Rader_2006,2006,1,"Rader, R., & Krockenberger, A. (2006). Does resource availability govern vertical stratification of small mammals in an Australian lowland tropical rainforest?. Wildlife Research, 33(7), 571-576.",10.1071/WR04108,https://drive.google.com/file/d/1-K0CwhkXUSgAcIqp1-HOw13qBJS3zhjT/view?usp=sharing,1,NA,Yes,7,1250,1,2,4,"Abundance, Richness - 4 categories of height",Traps,Small mammals,Asia and Oceania,Australia,Unlogged,Sampling combined across the year,Tropical rainforest,400,35,-16.095527,145.425929,2002-05-01,2003-04-01,Food,"Species, Food resource data, tree data",NA
1,Rajaonarivelo_2020,2020,1,"Rajaonarivelo, J. A., Andrianarisima, A., Raherilalao, M. J., & Goodman, S. (2020). Vertical distribution and daily patterns of birds in the dry deciduous forests of central western Madagascar. Tropical Zoology, 33(1).",10.4081/tz.2020.66,https://drive.google.com/file/d/1XmS4uZ2CwsYODU50uxDOmrl9fTEJcdAy/view?usp=sharing,1,NA,Yes,37,3468,3,3,3,"Richness, abundance - 9 categories of height",Human observation,Birds,Africa,Madagascar,Unlogged,Wet,Dry deciduous,30,20,-20.083333,44.533333,2018-01-25,2018-02-17,"Foliage density, food resources","Diurnal movements, temperature, vegetation data, behaviours, species specific data",NA
1,Recher_1985,1985,NA,"Recher, H. F., Holmes, R. T., Schulz, M., Shields, J., & Kavanagh, R. (1985). Foraging patterns of breeding birds in eucalypt forest and woodland of southeastern Australia. Australian Journal of Ecology, 10(4), 399-419.",10.1111/j.1442-9993.1985.tb00902.x,https://drive.google.com/file/d/1E0_fuC0p6WdbM4szpKaN3fO6Ak6u5BY4/view?usp=sharing,1,NA,Yes,41,NA,NA,NA,NA,Richness - 4 categories of height,Human observation,Birds,NA,Australia,Unlogged,Summer,Eucalyptus forest,800,25,-36.9,149.233333,1980-10-04,1981-01-07,Food,"Species, guild, foraging type, woodland composition",NA
1,Rodríguez_2009,2009,1,"Rodríguez, M. H. O. (2009). Análisis de la estratificación vertical del ensamblaje de murciélagos de un fragmento de bosque seco tropical (Córdoba, Colombia), a partir de la heterogeneidad del hábitat y la ecomorofología alar. Trabajo de Grado. Bogotá: Facultad de Ciencias, Pontificia Universidad Javeriana.",NA,https://drive.google.com/file/d/1m756GJ1tvB-rq1rN-FHIsINtSau7wlNa/view?usp=sharing,1,NA,Yes,14,170,3,2,1,"Abundance (table 2), Richness (estimated Table 6) - 2 categories of height",Mist nets,Bats,Americas,Colombia,Unlogged,Wet,Dry forest,75,15,8.181667,-75.55,2009-09-01,2009-10-01,"Forest structure, feeding behaviour","Species specific data, forest variables",NA
1,Scheffers_2013,2013,1,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,https://drive.google.com/file/d/1JF4DKqEnILXH46xIp32pPCckltWrmFKI/view?usp=sharing,1,NA,Yes,NA,NA,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Montane rainforest,1000,20,14.042436,121.524332,2011-05-01,2011-10-01,Climate,Arboreality vs elevation,NA
2,Scheffers_2013,2013,1,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,https://drive.google.com/file/d/1JF4DKqEnILXH46xIp32pPCckltWrmFKI/view?usp=sharing,1,NA,Yes,NA,NA,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Montane rainforest,1400,20,14.052623,121.51217,2011-05-01,2011-10-01,Climate,Arboreality vs elevation,NA
3,Scheffers_2013,2013,1,"Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.",10.1098/rspb.2013.1581,https://drive.google.com/file/d/1JF4DKqEnILXH46xIp32pPCckltWrmFKI/view?usp=sharing,1,NA,Yes,NA,NA,2,2,2,Abundance (density) - continous gradient,Human observation,Amphibians,Asia and Oceania,Philippines,Unlogged,Wet,Pine forest,1800,20,14.056614,121.50037,2011-05-01,2011-10-01,Climate,Arboreality vs elevation,NA
1,Silva_2020a,2020,NA,"Silva, I., Rocha, R., López-Baucells, A., Farneda, F. Z., & Meyer, C. F. (2020). Effects of forest fragmentation on the vertical stratification of neotropical bats. Diversity, 12(2), 67.",10.3390/d12020067,https://drive.google.com/file/d/1_16XrTo9TyOtDtTCvtzd6KvmTSDbtopQ/view?usp=sharing,NA,"2 - test statistics can be pulled from figures, abundance needs weighting by effort",Yes,42,1308,2,3,4,"Richness, abundance - 2 or 4 categories of height",Mist nets,Bats,Americas,Brazil,Unlogged,Dry,Lowland rainforest,100,35,-2.4,-59,2011-08-01,2014-11-01,Diversity and abundance of food resources,"GLM of forest variables, guild and species specific data, fragmentation effects",Very close location to Bernard 2001 - data is strangely split but certainly useful
2,Silva_2020a,2020,NA,"Silva, I., Rocha, R., López-Baucells, A., Farneda, F. Z., & Meyer, C. F. (2020). Effects of forest fragmentation on the vertical stratification of neotropical bats. Diversity, 12(2), 67.",10.3390/d12020067,https://drive.google.com/file/d/1_16XrTo9TyOtDtTCvtzd6KvmTSDbtopQ/view?usp=sharing,NA,"2 - test statistics can be pulled from figures, abundance needs weighting by effort",Yes,40,1769,2,3,4,"Richness, abundance - 2 or 4 categories of height",Mist nets,Bats,Americas,Brazil,100 ha fragments,Dry,Lowland rainforest,100,35,-2.4,-59,2011-08-01,2014-11-01,Diversity and abundance of food resources,"GLM of forest variables, guild and species specific data, fragmentation effects",Very close location to Bernard 2001 - data is strangely split but certainly useful
3,Silva_2020a,2020,NA,"Silva, I., Rocha, R., López-Baucells, A., Farneda, F. Z., & Meyer, C. F. (2020). Effects of forest fragmentation on the vertical stratification of neotropical bats. Diversity, 12(2), 67.",10.3390/d12020067,https://drive.google.com/file/d/1_16XrTo9TyOtDtTCvtzd6KvmTSDbtopQ/view?usp=sharing,NA,"2 - test statistics can be pulled from figures, abundance needs weighting by effort",Yes,40,1769,2,3,4,"Richness, abundance - 2 or 4 categories of height",Mist nets,Bats,Americas,Brazil,10 ha fragments,Dry,Lowland rainforest,100,35,-2.4,-59,2011-08-01,2014-11-01,Diversity and abundance of food resources,"GLM of forest variables, guild and species specific data, fragmentation effects",Very close location to Bernard 2001 - data is strangely split but certainly useful
