linking_id,study_id,biodiversity_metric_value,biodiversity_metric,biodiversity_metric_specific,biodiversity_metric_corrected,correction_performed,subsequent_correction,correction_performed_on_data_in_table,min_strata_height,max_strata_height,mean_strata_height,strata_category,temporal_effort_at_each_height,temporal_effort_unit,spatial_effort,spatial_effort_unit,link
3,Acharya_2017,15.25423729,richness,observed (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,47.07021792,richness,observed (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,47.07021792,richness,observed (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,29.20096852,richness,observed (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,22.22760291,richness,observed (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,5.084745763,richness,observed (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,7.99031477,richness,observed (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
4,Acharya_2017,17.97101449,richness,observed (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,28.11594203,richness,observed (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,17.00483092,richness,observed (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,12.07729469,richness,observed (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,2.995169082,richness,observed (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,2.995169082,richness,observed (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,2.028985507,richness,observed (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
1,Acharya_2017,22.95081967,abundance,raw (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,211.4754098,abundance,raw (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,198.3606557,abundance,raw (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,175.4098361,abundance,raw (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,114.7540984,abundance,raw (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,11.47540984,abundance,raw (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,21.31147541,abundance,raw (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
2,Acharya_2017,15.38461538,abundance,raw (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,378.4615385,abundance,raw (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,381.5384615,abundance,raw (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,172.3076923,abundance,raw (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,70.76923077,abundance,raw (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,9.230769231,abundance,raw (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,21.53846154,abundance,raw (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
3,Acharya_2017,76.36363636,abundance,raw (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,454.5454545,abundance,raw (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,356.3636364,abundance,raw (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,254.5454545,abundance,raw (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,134.5454545,abundance,raw (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,14.54545455,abundance,raw (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
3,Acharya_2017,54.54545455,abundance,raw (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,39,points,Acharya_2017 _ 3
4,Acharya_2017,57.06521739,abundance,raw (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,259.2391304,abundance,raw (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,88.04347826,abundance,raw (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,42.39130435,abundance,raw (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,4.891304348,abundance,raw (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,3.260869565,abundance,raw (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
4,Acharya_2017,3.260869565,abundance,raw (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,43,points,Acharya_2017 _ 4
2,Pearson_1977,0.33,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,0,0,NA,448,hours of observation,1,3km transect,Pearson_1977 _ 2
2,Pearson_1977,0.4,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,2,6,4,NA,448,hours of observation,1,3km transect,Pearson_1977 _ 2
2,Pearson_1977,0.46,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,6,14,10,NA,448,hours of observation,1,3km transect,Pearson_1977 _ 2
4,Pearson_1977,0.58,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,2,1,NA,250,hours of observation,1,3km transect,Pearson_1977 _ 4
2,Pearson_1977,0.59,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,2,1,NA,448,hours of observation,1,3km transect,Pearson_1977 _ 2
5,Pearson_1977,0.59,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,0,0,NA,225,hours of observation,1,3km transect,Pearson_1977 _ 5
4,Pearson_1977,0.65,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,0,0,NA,250,hours of observation,1,3km transect,Pearson_1977 _ 4
3,Pearson_1977,0.76,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,2,6,4,NA,208,hours of observation,1,3km transect,Pearson_1977 _ 3
5,Pearson_1977,0.8,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,2,1,NA,225,hours of observation,1,3km transect,Pearson_1977 _ 5
3,Pearson_1977,0.84,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,0,0,NA,208,hours of observation,1,3km transect,Pearson_1977 _ 3
1,Bell_1982,25,richness,observed,N,well sampled,NA,NA,0,0,0,ground,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,42,richness,observed,N,well sampled,NA,NA,0,1,0.5,understory,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,39,richness,observed,N,well sampled,NA,NA,1,2,1.5,understory,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,47,richness,observed,N,well sampled,NA,NA,2,4,3,understory,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,44,richness,observed,N,well sampled,NA,NA,4,6,5,understory,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,42,richness,observed,N,well sampled,NA,NA,6,8,7,understory,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,99,richness,observed,N,well sampled,NA,NA,8,25,16.5,subcanopy,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,75,richness,observed,N,well sampled,NA,NA,25,30,27.5,lower canopy,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,68,richness,observed,N,well sampled,NA,NA,30,35,32.5,upper canopy,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bell_1982,33,richness,observed,N,well sampled,NA,NA,35,40,37.5,emergent,720,hours of observation,1,forest site,Bell_1982 _ 1
1,Bernard_2001,0.232027551,abundance,captures per mist net hour,Y,per effort,NA,NA,0,2.5,1.25,understory,1075,mistnet hours,17,sampling points,Bernard_2001 _ 1
1,Bernard_2001,0.369,abundance,captures per mist net hour,Y,per effort,NA,NA,17,30,23.5,canopy,2323,mistnet hours,17,sampling points,Bernard_2001 _ 1
1,Bernard_2001,55,richness,estimated,Y,NA,NA,NA,0,2.5,1.25,understory,1075,mistnet hours,17,sampling points,Bernard_2001 _ 1
1,Bernard_2001,42,richness,estimated,Y,NA,NA,NA,17,30,23.5,canopy,2323,mistnet hours,17,sampling points,Bernard_2001 _ 1
1,Altamirano_1989,46,richness,observed,N,equal survey effort,NA,NA,0,5,2.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,38,richness,observed,N,equal survey effort,NA,NA,5,10,7.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,37,richness,observed,N,equal survey effort,NA,NA,10,15,12.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,29,richness,observed,N,equal survey effort,NA,NA,15,20,17.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,35,richness,observed,N,equal survey effort,NA,NA,20,25,22.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,29,richness,observed,N,equal survey effort,NA,NA,25,30,27.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,25,richness,observed,N,equal survey effort,NA,NA,30,35,32.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,15,richness,observed,N,equal survey effort,NA,NA,35,40,37.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Altamirano_1989,5,richness,observed,N,equal survey effort,NA,NA,40,45,42.5,NA,63,days of sampling,1,400 x 20 m transect,Altamirano_1989 _ 1
1,Brosset_1996,0.45,abundance,captures per mist net hour,Y,per effort,NA,NA,0,3,1.5,NA,494,mistnet hours,1,forest site,Brosset_1996 _ 1
1,Brosset_1996,0.18,abundance,captures per mist net hour,Y,per effort,NA,NA,20,25,22.5,NA,770,mistnet hours,1,forest site,Brosset_1996 _ 1
2,Brosset_1996,0.37,abundance,captures per mist net hour,Y,per effort,NA,NA,0,3,1.5,NA,712,mistnet hours,1,forest site,Brosset_1996 _ 2
2,Brosset_1996,0.2,abundance,captures per mist net hour,Y,per effort,NA,NA,20,25,22.5,NA,1672,mistnet hours,1,forest site,Brosset_1996 _ 2
1,Chmel_2016,27,richness,observed,N,equal survey effort,NA,NA,0,3,1.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,22,richness,observed,N,equal survey effort,NA,NA,3,6,4.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,25,richness,observed,N,equal survey effort,NA,NA,6,9,7.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,29,richness,observed,N,equal survey effort,NA,NA,9,12,10.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,34,richness,observed,N,equal survey effort,NA,NA,12,15,13.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,37,richness,observed,N,equal survey effort,NA,NA,15,18,16.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,34,richness,observed,N,equal survey effort,NA,NA,18,21,19.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,43,richness,observed,N,equal survey effort,NA,NA,21,24,22.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,109,abundance,raw,N,equal survey effort,NA,NA,0,3,1.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,80,abundance,raw,N,equal survey effort,NA,NA,3,6,4.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,79,abundance,raw,N,equal survey effort,NA,NA,6,9,7.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,104,abundance,raw,N,equal survey effort,NA,NA,9,12,10.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,96,abundance,raw,N,equal survey effort,NA,NA,12,15,13.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,102,abundance,raw,N,equal survey effort,NA,NA,15,18,16.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,114,abundance,raw,N,equal survey effort,NA,NA,18,21,19.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
1,Chmel_2016,164,abundance,raw,N,equal survey effort,NA,NA,21,24,22.5,NA,53839,meters squared hours,12,sampling points,Chmel_2016 _ 1
6,Pearson_1977,0.84,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,0,0,NA,300,hours of observation,1,3km transect,Pearson_1977 _ 6
6,Pearson_1977,0.92,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,26,33,29.5,NA,300,hours of observation,1,3km transect,Pearson_1977 _ 6
1,Pearson_1977,0.94,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,33,40,36.5,NA,714,hours of observation,1,3km transect,Pearson_1977 _ 1
2,Pearson_1977,0.96,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,33,40,36.5,NA,448,hours of observation,1,3km transect,Pearson_1977 _ 2
3,Pearson_1977,0.96,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,2,1,NA,208,hours of observation,1,3km transect,Pearson_1977 _ 3
1,Duya_2017,6.5,richness,mean estimated,Y,NA,NA,NA,0,3,1.5,understory,303264,m2 net hours,15,"sites (representing 3 habitat types - ridge, stream, forest)",Duya_2017 _ 1
1,Duya_2017,8.02,richness,mean estimated,Y,NA,NA,NA,3,16,9.5,canopy,95472,m2 net hours,15,"sites (representing 3 habitat types - ridge, stream, forest)",Duya_2017 _ 1
1,Duya_2017,0.003,abundance,captures per meters squared hour,Y,per effort,NA,NA,0,3,1.5,understory,303264,m2 net hours,15,"sites (representing 3 habitat types - ridge, stream, forest)",Duya_2017 _ 1
1,Duya_2017,0.012,abundance,captures per meters squared hour,Y,per effort,NA,NA,3,16,9.5,canopy,95472,m2 net hours,15,"sites (representing 3 habitat types - ridge, stream, forest)",Duya_2017 _ 1
6,Pearson_1977,0.97,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,33,40,36.5,NA,300,hours of observation,1,3km transect,Pearson_1977 _ 6
1,Pearson_1977,0.99,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,0,0,NA,714,hours of observation,1,3km transect,Pearson_1977 _ 1
5,Pearson_1977,0.99,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,2,6,4,NA,225,hours of observation,1,3km transect,Pearson_1977 _ 5
3,Pearson_1977,1.11,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,6,14,10,NA,208,hours of observation,1,3km transect,Pearson_1977 _ 3
5,Pearson_1977,1.12,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,6,14,10,NA,225,hours of observation,1,3km transect,Pearson_1977 _ 5
4,Pearson_1977,1.13,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,26,33,29.5,NA,250,hours of observation,1,3km transect,Pearson_1977 _ 4
1,Gregorin_2017,0.0031,abundance,captures per meters squared hour,Y,per effort,NA,NA,1,4,2.5,understory,138240,m2 net hours,8,"sampling points (4 in mixed regrowth, 4 in primary forest)",Gregorin_2017 _ 1
1,Gregorin_2017,0.00547,abundance,captures per meters squared hour,Y,per effort,NA,NA,11,20,15.5,canopy,34560,m2 net hours,8,"sampling points (4 in mixed regrowth, 4 in primary forest)",Gregorin_2017 _ 1
1,Gregorin_2017,16,richness,observed,N,richness is saturating,NA,NA,1,4,2.5,understory,138240,m2 net hours,8,"sampling points (4 in mixed regrowth, 4 in primary forest)",Gregorin_2017 _ 1
1,Gregorin_2017,25,richness,observed,N,richness is saturating,NA,NA,11,20,15.5,canopy,34560,m2 net hours,8,"sampling points (4 in mixed regrowth, 4 in primary forest)",Gregorin_2017 _ 1
1,Grelle_2003,79,abundance,raw,N,equal survey effort,NA,NA,0,0,0,ground,1960,trap nights,49,trap stations,Grelle_2003 _ 1
1,Grelle_2003,32,abundance,raw,N,equal survey effort,NA,NA,1,3,2,understory,1960,trap nights,49,trap stations,Grelle_2003 _ 1
1,Grelle_2003,59,abundance,raw,N,equal survey effort,NA,NA,5,12,8.5,midstorey,1960,trap nights,49,trap stations,Grelle_2003 _ 1
1,Grelle_2003,7,richness,observed,N,NA,NA,NA,0,0,0,ground,1960,trap nights,49,trap stations,Grelle_2003 _ 1
1,Grelle_2003,4,richness,observed,N,NA,NA,NA,1,3,2,understory,1960,trap nights,49,trap stations,Grelle_2003 _ 1
1,Grelle_2003,5,richness,observed,N,NA,NA,NA,5,12,8.5,midstorey,1960,trap nights,49,trap stations,Grelle_2003 _ 1
1,Hannibal_2010,3,richness,observed,N,NA,NA,NA,0,1,0.5,ground,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 1
1,Hannibal_2010,5,richness,observed,N,NA,NA,NA,2,3,2.5,understory,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 1
1,Hannibal_2010,3,richness,observed,N,NA,NA,NA,8,10,9,canopy,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 1
1,Hannibal_2010,10,abundance,raw,N,equal survey effort,NA,NA,0,1,0.5,ground,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 1
1,Hannibal_2010,13,abundance,raw,N,equal survey effort,NA,NA,2,3,2.5,understory,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 1
1,Hannibal_2010,5,abundance,raw,N,equal survey effort,NA,NA,8,10,9,canopy,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 1
2,Hannibal_2010,5,richness,observed,N,NA,NA,NA,0,1,0.5,ground,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 2
2,Hannibal_2010,2,richness,observed,N,NA,NA,NA,2,3,2.5,understory,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 2
2,Hannibal_2010,1,richness,observed,N,NA,NA,NA,8,10,9,canopy,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 2
2,Hannibal_2010,13,abundance,raw,N,equal survey effort,NA,NA,0,1,0.5,ground,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 2
2,Hannibal_2010,8,abundance,raw,N,equal survey effort,NA,NA,2,3,2.5,understory,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 2
2,Hannibal_2010,1,abundance,raw,N,equal survey effort,NA,NA,8,10,9,canopy,600,trap nights,3,transects = each with 10 sampling points,Hannibal_2010 _ 2
1,Henry_2004,NA,abundance,raw,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,forest site,Henry_2004 _ 1
1,Henry_2004,6.3,abundance,captures per 100 MNH,Y,per effort,NA,NA,1,3.5,2.25,understory,2173.25,mist net hours,1,forest site,Henry_2004 _ 1
1,Henry_2004,13.7,abundance,captures per 100 MNH,Y,per effort,NA,NA,16,36.5,26.25,canopy,2880.75,mist net hours,1,forest site,Henry_2004 _ 1
1,Henry_2004,7,richness,estimated,Y,rarefaction curves are complete,NA,NA,1,3.5,2.25,understory,2173.25,mist net hours,1,forest site,Henry_2004 _ 1
1,Henry_2004,8,richness,estimated,Y,rarefaction curves are complete,NA,NA,16,36.5,26.25,canopy,2880.75,mist net hours,1,forest site,Henry_2004 _ 1
1,Pearson_1977,1.15,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,26,33,29.5,NA,714,hours of observation,1,3km transect,Pearson_1977 _ 1
1,Pearson_1977,1.23,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,6,14,10,NA,714,hours of observation,1,3km transect,Pearson_1977 _ 1
4,Pearson_1977,1.28,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,2,6,4,NA,250,hours of observation,1,3km transect,Pearson_1977 _ 4
3,Pearson_1977,1.29,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,26,33,29.5,NA,208,hours of observation,1,3km transect,Pearson_1977 _ 3
2,Pearson_1977,1.31,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,26,33,29.5,NA,448,hours of observation,1,3km transect,Pearson_1977 _ 2
1,Pearson_1977,1.56,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,2,6,4,NA,714,hours of observation,1,3km transect,Pearson_1977 _ 1
3,Pearson_1977,1.58,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,33,40,36.5,NA,208,hours of observation,1,3km transect,Pearson_1977 _ 3
1,Jayson_2003,5.3,richness,margalefs index,Y,NA,NA,NA,0,0,0,NA,150,sampling days,1,4km transect,Jayson_2003 _ 1
1,Jayson_2003,7.67,richness,margalefs index,Y,NA,NA,NA,1,5,3,NA,150,sampling days,1,4km transect,Jayson_2003 _ 1
1,Jayson_2003,7.48,richness,margalefs index,Y,NA,NA,NA,6,10,8,NA,150,sampling days,1,4km transect,Jayson_2003 _ 1
1,Jayson_2003,6.64,richness,margalefs index,Y,NA,NA,NA,11,15,13,NA,150,sampling days,1,4km transect,Jayson_2003 _ 1
1,Jayson_2003,3.65,richness,margalefs index,Y,NA,NA,NA,16,20,18,NA,150,sampling days,1,4km transect,Jayson_2003 _ 1
1,Jayson_2003,5.03,richness,margalefs index,Y,NA,NA,NA,21,30,25.5,NA,150,sampling days,1,4km transect,Jayson_2003 _ 1
1,Jayson_2003,3.66,richness,margalefs index,Y,NA,NA,NA,30,35,32.5,NA,150,sampling days,1,4km transect,Jayson_2003 _ 1
5,Pearson_1977,1.76,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,26,33,29.5,NA,225,hours of observation,1,3km transect,Pearson_1977 _ 5
1,Pearson_1977,1.83,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,0,2,1,NA,714,hours of observation,1,3km transect,Pearson_1977 _ 1
6,Pearson_1977,2,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,6,14,10,NA,300,hours of observation,1,3km transect,Pearson_1977 _ 6
6,Pearson_1977,2.11,abundance,individuals per hour (foraging),Y,per effort,NA,needs 1m intervals,2,6,4,NA,300,hours of observation,1,3km transect,Pearson_1977 _ 6
